PNC;Invoice No;Invoice date;pos;Art Descr;Quantity;Unit;Price;Value;Origin;Net weight;Article Code;TaricNo
537 29 97-01;4647569;15.12.2020;181;SPRING;10,00;ST;4,13;41,30;SE;0,48;;73182900
537 33 43-01;4647569;15.12.2020;182;PIPE;5,00;ST;2,43;12,15;EE;0,03;;40091100
537 34 35-02;4647569;15.12.2020;183;FLANGE;10,00;ST;3,40;34,00;SE;0,50;;84679900
537 34 78-01;4647569;15.12.2020;184;KNOB;10,00;ST;5,11;51,10;SE;0,60;;84679100
537 35 52-01;4647569;15.12.2020;185;SHAFT;2,00;ST;12,23;24,46;JP;0,64;;84831095
537 35 91-01;4647569;15.12.2020;186;SPRING;20,00;ST;1,05;21,00;SE;0,18;;73202089
537 40 56-01;4647569;15.12.2020;187;CHAIN GUIDE PLATE;5,00;ST;2,19;10,95;SE;0,19;;84679100
537 42 34-01;4647569;15.12.2020;188;SPRING;20,00;ST;1,38;27,60;SE;0,60;;73202085
538 24 34-76;4647569;15.12.2020;189;CHAIN TENSIONER;5,00;ST;2,08;10,40;CZ;0,34;;84679100
538 24 39-09;4647569;15.12.2020;190;GEAR;10,00;ST;5,85;58,50;SE;1,28;;84339000
538 24 79-55;4647569;15.12.2020;191;REPAIR KIT;1,00;ST;7,56;7,56;IT;0,01;;84099100
538 24 79-56;4647569;15.12.2020;192;DIAPHRAGM SET;1,00;ST;4,18;4,18;TH;0,00;;84099100
538 24 98-02;4647569;15.12.2020;193;DIAPHRAGM+GASKET KIT,;1,00;ST;4,27;4,27;CN;0,00;;40169300
538 24 98-03;4647569;15.12.2020;194;REPAIR KIT,;1,00;ST;8,20;8,20;CN;0,00;;84679100
540 05 75-02;4647569;15.12.2020;195;SPRING CASSETTE ASSY;10,00;ST;2,83;28,30;DE;0,45;;73209090
540 05 79-01;4647569;15.12.2020;196;PUMP PISTON;30,00;ST;3,33;99,90;SE;0,30;;84099100
544 01 38-01;4647569;15.12.2020;197;SEALING;20,00;ST;2,76;55,20;IN;0,20;;40169300
544 02 95-02;4647569;15.12.2020;198;MUFFLER ASSY;5,00;ST;13,83;69,15;US;1,33;;84099100
544 12 86-01;4647569;15.12.2020;199;FUEL HOSE;10,00;ST;1,50;15,00;DK;0,04;;40091100
544 14 29-08;4647569;15.12.2020;200;CYLINDER;2,00;ST;70,04;140,08;SE;1,20;;84099100
544 18 32-01;4647569;15.12.2020;201;SHAFT;5,00;ST;13,82;69,10;IT;2,97;;84831095
544 24 87-02;4647569;15.12.2020;202;BALL BEARING;10,00;ST;1,41;14,10;CN;0,32;;84821010
544 24 88-02;4647569;15.12.2020;203;BALL BEARING;10,00;ST;1,45;14,50;CN;0,35;;84821010
544 25 12-01;4647569;15.12.2020;204;SEALING;20,00;ST;2,66;53,20;CN;0,12;;40169300
544 25 13-01;4647569;15.12.2020;205;SEALING;20,00;ST;2,61;52,20;CN;0,08;;40169300
544 28 46-01;4647569;15.12.2020;206;CHAIN GUIDE PLATE;10,00;ST;1,81;18,10;US;0,34;;84679100
544 43 50-01;4647569;15.12.2020;207;PISTON RING;10,00;ST;2,50;25,00;BR;0,03;;84099100
544 87 42-02;4647569;15.12.2020;208;FLYWHEEL ASSY;2,00;ST;18,11;36,22;SE;0,52;;84835020
544 93 25-03;4647569;15.12.2020;209;CRANKCASE ASSY;2,00;ST;22,88;45,76;US;1,17;;84679100
